time_s,AorticArchI,ThoAortaIII,AbdomAortaV,RightCCA,RightRenal,RightCommonIliac,RightICA,RightRadial,RightInternalIliac,RightPostInteross,RightFemoralII,RightAntTibial
9.50000000e-02,4.39126687e+02,1.60085716e+02,1.62575249e+01,2.11768227e+01,8.09809755e+00,9.49816610e+00,6.01123492e+00,1.87034300e+00,4.62958121e+00,2.51898517e-01,8.42713244e-01,4.25798966e-01
9.60000000e-02,4.45775749e+02,1.65527034e+02,1.62917329e+01,2.16566671e+01,8.29257321e+00,9.65002383e+00,6.20378513e+00,1.83930003e+00,4.56248733e+00,2.52336567e-01,8.31018382e-01,4.30836437e-01
9.70000000e-02,4.51728320e+02,1.70754303e+02,1.65544937e+01,2.18319747e+01,8.44946103e+00,9.90162266e+00,6.32336876e+00,1.82132297e+00,4.52529837e+00,2.50627735e-01,8.12307930e-01,4.35838893e-01
9.80000000e-02,4.56784839e+02,1.75295764e+02,1.65624261e+01,2.20666990e+01,8.44087737e+00,1.00486923e+01,6.40243606e+00,1.85330089e+00,4.51267116e+00,2.45799845e-01,7.80509139e-01,4.40755963e-01
9.90000000e-02,4.61341789e+02,1.79726198e+02,1.66024289e+01,2.25415602e+01,8.34620519e+00,1.01147942e+01,6.53085671e+00,1.93453925e+00,4.57071536e+00,2.38940272e-01,7.43439069e-01,4.45462206e-01
1.00000000e-01,4.66035790e+02,1.84488113e+02,1.70057090e+01,2.30802336e+01,8.33885171e+00,1.01549737e+01,6.72465042e+00,2.02407848e+00,4.66614440e+00,2.35879698e-01,7.15604794e-01,4.49726463e-01
1.01000000e-01,4.70911584e+02,1.89510259e+02,1.76789101e+01,2.35252831e+01,8.45097995e+00,1.01167490e+01,6.95325012e+00,2.07454219e+00,4.69963293e+00,2.43180420e-01,7.07309565e-01,4.53325409e-01
1.02000000e-01,4.75527120e+02,1.94556273e+02,1.82407470e+01,2.39069211e+01,8.54629229e+00,9.98280798e+00,7.20709707e+00,2.06744391e+00,4.72438629e+00,2.59436665e-01,7.18207805e-01,4.56229336e-01
1.03000000e-01,4.79638801e+02,1.99340662e+02,1.85783411e+01,2.43755401e+01,8.56939919e+00,9.95957875e+00,7.50386939e+00,2.01785332e+00,4.83265044e+00,2.74443998e-01,7.38687716e-01,4.58705001e-01
1.04000000e-01,4.83432971e+02,2.04140694e+02,1.89363933e+01,2.49484134e+01,8.63162295e+00,1.01538961e+01,7.84799800e+00,1.95328134e+00,4.91501834e+00,2.78973646e-01,7.56331511e-01,4.61218065e-01
